ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
020803,Áncash,Casma,Comandante Noel,Total,2242,2017
020804,Áncash,Casma,Yautan,Urbano,3347,2017
020804,Áncash,Casma,Yautan,Rural,5332,2017
020804,Áncash,Casma,Yautan,Total,8680,2017
020901,Áncash,Corongo,Corongo,Urbano,1337,2017
020901,Áncash,Corongo,Corongo,Rural,436,2017
020901,Áncash,Corongo,Corongo,Total,1774,2017
020902,Áncash,Corongo,Aco,Urbano,220,2017
020902,Áncash,Corongo,Aco,Rural,183,2017
020902,Áncash,Corongo,Aco,Total,403,2017
020903,Áncash,Corongo,Bambas,Urbano,399,2017
020903,Áncash,Corongo,Bambas,Rural,79,2017
020903,Áncash,Corongo,Bambas,Total,479,2017
020904,Áncash,Corongo,Cusca,Urbano,1113,2017
020904,Áncash,Corongo,Cusca,Rural,1714,2017
020904,Áncash,Corongo,Cusca,Total,2827,2017
020905,Áncash,Corongo,La Pampa,Urbano,820,2017
020905,Áncash,Corongo,La Pampa,Rural,260,2017
020905,Áncash,Corongo,La Pampa,Total,1080,2017
020906,Áncash,Corongo,Yanac,Urbano,259,2017
020906,Áncash,Corongo,Yanac,Rural,413,2017
